"filename", "language", "JavaScript", "JSON", "Python", "pip requirements", "XML", "Markdown", "ui", "JavaScript JSX", "PostCSS", "Qrc", "HTML", "Dotenv", "Ini", "comment", "blank", "total"
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_produtos_ui.py", "Python", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74, 306
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\data_produto.ui", "ui", 0, 0, 0, 0, 0, 0, 666, 0, 0, 0, 0, 0, 0, 0, 1, 667
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\data_produto_ui.py", "Python", 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92, 377
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\produtos.ui", "ui", 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 1, 247
"c:\Users\Pichau\Documents\Unique\desktop\window\form_products\produtos_ui.py", "Python", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 145
"c:\Users\Pichau\Documents\Unique\desktop\window\unique.ui", "ui", 0, 0, 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 4, 418
"c:\Users\Pichau\Documents\Unique\desktop\window\unique_ui.py", "Python", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 239
"c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\components\server.py", "Python", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31, 193
"c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\form.ui", "ui", 0, 0, 0, 0, 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 1, 374
"c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\ui_form.py", "Python", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104, 352
"c:\Users\Pichau\Documents\Unique\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\Pichau\Documents\Unique\frontend\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Pichau\Documents\Unique\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\Pichau\Documents\Unique\frontend\package-lock.json", "JSON", 0, 3258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3259
"c:\Users\Pichau\Documents\Unique\frontend\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Pichau\Documents\Unique\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Pichau\Documents\Unique\frontend\src\api\api.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Button_market.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Carrinho.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 68, 18, 188
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Catalago.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 11, 108
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Categories.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 8, 38
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Map_produtos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
